agent_id,task_amount_done,distance_moved
0,439.0,2098.0269223054142
1,429.0,1930.8247956461291
2,247.0,2675.9274741810173
3,286.0,2412.802706937881
4,280.0,2510.801148452552
5,417.0,2115.8627625317445
6,349.0,2231.9445442995425
7,326.0,2302.159218443496
8,223.0,2763.899548338814
9,488.0,2005.6332620939863
10,482.0,2005.6534932384677
11,623.0,1485.9999447605574
12,208.0,2663.081617001418
13,284.0,2417.5679884938168
14,448.0,2092.939584408281
15,565.0,1665.1608210898303
16,470.0,1816.3087932134017
17,434.0,2065.543992453343
18,510.0,1832.930448144731
19,374.0,2188.674242269915
20,394.0,2088.9956499567743
21,377.0,2429.8069948960597
22,459.0,2004.8432742731122
23,345.0,2254.3658906774717
24,429.0,2263.901427381579
25,411.0,2196.93071359063
26,358.0,2322.257492671863
27,207.0,2599.0570494198923
28,484.0,1832.812965054876
29,541.0,1611.5066270657064
