agent_id,task_amount_done,distance_moved
0,241.0,2208.869626881174
1,336.0,2090.972577965759
2,482.0,1814.7756431330415
3,314.0,2267.657060263522
4,338.0,2113.4752725012554
5,423.0,1986.3065290061352
6,392.0,1935.50228522595
7,402.0,2042.2118307921678
8,323.0,2285.6946077903185
9,323.0,2438.0872673426934
10,384.0,2063.753910889005
11,430.0,1826.7258439676984
12,363.0,2083.8549825174828
13,320.0,2344.8709042587934
14,492.0,1773.7748592454514
15,230.0,2026.0158477515222
16,377.0,1992.9425854811345
17,386.0,1866.3070668450277
18,462.0,1839.8419766597538
19,292.0,2185.92872538465
20,374.0,2058.382356412262
21,370.0,1920.595177046455
22,476.0,1883.0944616415547
23,466.0,1758.745639143494
24,368.0,2118.067999749264
25,455.0,1927.30289486631
26,319.0,2179.0928611034474
27,407.0,2049.618293341347
28,350.0,2097.004282903607
29,341.0,2102.3321087190284
