agent_id,task_amount_done,distance_moved
0,487.0,1697.3282092930533
1,307.0,2249.6326682255476
2,417.0,2106.5719958134646
3,346.0,2355.7602556607244
4,227.0,2404.9362414554034
5,463.0,1910.1640675432377
6,332.0,2397.8558603674437
7,462.0,1926.0941278121184
8,390.0,1820.8612318287492
9,293.0,2298.8021369751873
10,442.0,2009.5963266207418
11,539.0,1565.4575517310577
12,336.0,2292.087715721744
13,428.0,2131.139186862205
14,277.0,2425.8577396368337
15,388.0,2084.60399586513
16,213.0,2782.009628747087
17,431.0,2055.4017141022455
18,419.0,2111.544244817334
19,295.0,2359.0807998108435
20,331.0,2297.0046855514565
21,612.0,1601.6258310513683
22,376.0,2182.9395606748967
23,381.0,2275.2334254747334
24,448.0,1959.0486069125104
25,329.0,2324.9940855022865
26,448.0,1985.3023089122364
27,255.0,2509.407089325144
28,423.0,2148.1212403950935
29,276.0,2495.8334874803245
