agent_id,task_amount_done,distance_moved
0,496.0,1635.2532028948167
1,290.0,2451.4957272260012
2,332.0,2191.7747379743532
3,396.0,2031.6885043611194
4,488.0,1835.4011829174271
5,336.0,2202.1011489303396
6,362.0,2138.2644464979567
7,302.0,2147.9748999121257
8,508.0,1659.010806582482
9,444.0,1713.6982652843403
10,357.0,2277.5339998794443
11,310.0,2313.354781699055
12,410.0,1867.404400050658
13,396.0,2009.0803681366122
14,320.0,2118.4648634423415
15,474.0,1758.0098190087112
16,340.0,2352.6527347379397
17,427.0,1758.222216525306
18,442.0,1939.835881107269
19,298.0,2167.716346638488
20,309.0,2291.8339827744694
21,459.0,2002.9526225029458
22,337.0,2096.81957880453
23,316.0,2150.7300403688178
24,409.0,1983.1182156327807
25,367.0,2089.600442408896
26,377.0,2142.8566586734955
27,464.0,1821.9348973458839
28,297.0,2135.743243616809
29,538.0,1491.3968439937926
