agent_id,task_amount_done,distance_moved
0,420.0,1987.2292471537733
1,456.0,1817.0827239942423
2,407.0,2071.6575544583256
3,423.0,2029.5255161557184
4,564.0,1608.3916028234441
5,336.0,2325.3008974764034
6,410.0,1788.6996412092878
7,331.0,1970.7523688282674
8,329.0,2257.3458710603263
9,520.0,1753.648162130455
10,445.0,1929.6248021362037
11,360.0,1844.7226130212016
12,418.0,1695.4181396986955
13,294.0,2159.9085480998856
14,417.0,1771.4967917887839
15,286.0,2315.7631706858147
16,293.0,2276.1807130629486
17,295.0,2250.498181041196
18,455.0,1829.388900709913
19,247.0,2455.1301709645973
20,288.0,2293.308175068485
21,456.0,1780.708242558719
22,490.0,1712.3998882371807
23,560.0,1551.2966494666732
24,307.0,2212.7545014243456
25,374.0,2028.6439326481343
26,471.0,1778.3828637306756
27,360.0,1987.5262549105937
28,237.0,2304.771687411587
29,362.0,2106.566163110793
