agent_id,task_amount_done,distance_moved
0,339.0,2156.4436791986473
1,513.0,1816.00622640467
2,395.0,1842.7035537952593
3,394.0,2183.9459514745267
4,405.0,2082.908618848605
5,484.0,1894.4466405091339
6,341.0,2252.8396279359117
7,393.0,2108.57390743042
8,302.0,2389.7790890833107
9,375.0,2203.419779112549
10,239.0,2511.021383586055
11,334.0,2340.847082475797
12,331.0,2116.4983085596514
13,373.0,2178.6348054919445
14,306.0,2426.2781360219356
15,450.0,1882.523048730292
16,331.0,2340.032989498869
17,501.0,1659.7174895633611
18,277.0,2483.0054817978157
19,542.0,1805.2655575667923
20,427.0,1955.7211461661614
21,275.0,2445.224806194508
22,436.0,2007.2518830397657
23,403.0,2166.0406316433277
24,494.0,1749.529083262819
25,487.0,1626.5605644745622
26,294.0,2272.151866391728
27,469.0,1836.7635286816003
28,289.0,2292.7881301715433
29,328.0,2309.5211174423266
