agent_id,task_amount_done,distance_moved
0,348.0,2028.7299879204772
1,365.0,1823.1397966262502
2,339.0,2153.4963830506745
3,254.0,2299.701457963412
4,357.0,2141.190624751514
5,512.0,1627.6116773117444
6,500.0,1673.554829978014
7,411.0,1755.6960737394395
8,420.0,1723.4527239681017
9,459.0,1873.9948105662654
10,469.0,1882.0524137870805
11,477.0,1848.347044201674
12,466.0,1758.9511815975452
13,357.0,2174.977234013222
14,336.0,2137.338416985699
15,363.0,2138.373894579222
16,365.0,1908.928612873907
17,383.0,1847.3117557226292
18,369.0,2091.9359636973804
19,422.0,1701.35902705559
20,484.0,1744.015810050514
21,353.0,2183.0673889894083
22,299.0,2216.4709864881765
23,373.0,2021.9515134833389
24,353.0,2045.020628647131
25,396.0,1915.9741302778345
26,462.0,1535.1383159445875
27,352.0,2008.4276383645927
28,433.0,1826.6105968920674
29,375.0,2096.423635567164
