agent_id,task_amount_done,distance_moved
0,386.0,2574.4281917224703
1,443.0,2377.386368499424
2,485.0,2231.034097703891
3,413.0,2331.851402847263
4,439.0,2092.581219652792
5,353.0,2490.6837061382334
6,379.0,2613.4631176101675
7,619.0,1865.2086375778472
8,340.0,2570.565375483279
9,369.0,2513.536502314581
10,332.0,2351.8732109823045
11,410.0,2313.9755309394945
12,369.0,2594.876515462251
13,369.0,2384.892934938925
14,347.0,2343.8395340143957
15,425.0,2323.7999739115603
16,292.0,2527.365134261363
17,524.0,2153.820524524974
18,382.0,2340.2004177053605
19,320.0,2628.3755357423934
20,358.0,2466.4763796664556
21,374.0,2533.2267159921325
22,562.0,1926.4727936940963
23,518.0,1899.918121848223
24,262.0,2628.3559426556985
25,371.0,2544.1240212790785
26,455.0,2247.056202447976
27,368.0,2130.378716292088
28,292.0,2541.9479365813067
29,430.0,2512.9843530740245
