agent_id,task_amount_done,distance_moved
0,353.0,2116.626197927408
1,402.0,1925.4676089332079
2,223.0,2302.1138843141885
3,376.0,2002.9469310241043
4,317.0,1974.4379381485908
5,374.0,1944.2475787323756
6,330.0,2142.0936932579075
7,333.0,1989.9977265254674
8,362.0,1980.263874773011
9,570.0,1601.842212254445
10,323.0,2006.4617613855305
11,320.0,2083.495225296476
12,439.0,1834.4144179571235
13,479.0,1675.9894718523549
14,364.0,2216.891971770543
15,313.0,1971.1447274667569
16,265.0,2038.9757761318378
17,283.0,2187.4728097875995
18,374.0,1967.7649895934412
19,350.0,1957.3927601133196
20,508.0,1676.9931980741612
21,380.0,2057.5201724065364
22,504.0,1696.3831063325797
23,373.0,1972.6531203742406
24,423.0,1913.000632800673
25,419.0,1883.2762485115188
26,335.0,2186.24377679324
27,315.0,2055.8676068076306
28,536.0,1560.3610734931556
29,378.0,2063.8529063758874
