agent_id,task_amount_done,distance_moved
0,335.0,2118.6210145994455
1,510.0,1680.3306210254384
2,481.0,1711.4979543808545
3,315.0,2140.245712951478
4,260.0,2502.1716071074866
5,296.0,2498.772423509949
6,203.0,2550.743437196265
7,271.0,2385.321609927129
8,367.0,2163.5307460838935
9,512.0,1668.113372896729
10,336.0,2298.870782437863
11,630.0,1470.4537458242116
12,429.0,2056.4406048173323
13,437.0,1904.171643658957
14,465.0,1874.671034207379
15,467.0,1766.277258850985
16,373.0,1966.6734779540382
17,437.0,1991.2550352669261
18,513.0,1698.3632699556424
19,340.0,2027.6426398953024
20,343.0,2090.547511010124
21,294.0,2109.474401358944
22,318.0,2177.852917370003
23,414.0,1930.8484924828817
24,317.0,2247.470477918515
25,225.0,2496.013432284153
26,297.0,2229.789828623203
27,344.0,2045.9454375359737
28,325.0,2114.590983639214
29,338.0,2125.2475107199703
