agent_id,task_amount_done,distance_moved
0,318.0,2410.627195962975
1,522.0,2048.8882097530022
2,324.0,2415.2480994348525
3,467.0,1935.1481993390792
4,447.0,2253.893044536729
5,357.0,2218.297988528688
6,353.0,2349.4773506976308
7,414.0,2282.9216726202944
8,309.0,2462.5689182399224
9,405.0,2112.7296263571957
10,624.0,1730.3696373286177
11,438.0,2058.6490810553605
12,501.0,1787.7759311549337
13,478.0,1961.806146737702
14,307.0,2439.1479823731165
15,473.0,2031.9312614049882
16,403.0,2377.7725383881643
17,394.0,2294.9463350071446
18,375.0,2161.789527669966
19,313.0,2441.760927547596
20,280.0,2592.715479656311
21,304.0,2596.0164632624264
22,290.0,2453.864924931727
23,466.0,2089.320720069416
24,336.0,2389.3772476326762
25,346.0,2423.3591721370253
26,395.0,2078.549340438367
27,385.0,2436.5392386022518
28,462.0,2049.7188751708654
29,466.0,2011.5146122598915
