agent_id,task_amount_done,distance_moved
0,579.0,1292.4452263674737
1,590.0,1377.0519622680426
2,232.0,2406.69519673422
3,376.0,2051.228538367266
4,312.0,2168.4214155658465
5,410.0,1930.3354505122336
6,264.0,2170.6931620987416
7,325.0,2218.747946147993
8,539.0,1477.8028566623434
9,260.0,2136.437958682609
10,415.0,1772.5121030720372
11,275.0,2144.341651749047
12,264.0,2212.909272031501
13,321.0,1843.5826521397928
14,304.0,1943.698327345882
15,314.0,2101.7113245797213
16,317.0,2173.0853830042834
17,436.0,1677.7472169887078
18,341.0,2220.744408634664
19,379.0,1999.347033190213
20,588.0,1437.8094097295748
21,407.0,1987.039495824381
22,551.0,1324.9637978919013
23,307.0,2176.9837810597564
24,359.0,1820.751469871361
25,440.0,1671.564270760022
26,326.0,2115.139670248621
27,266.0,2303.989836242259
28,576.0,1409.9989554805031
29,300.0,2179.721008992849
