agent_id,task_amount_done,distance_moved
0,491.0,1726.497270152662
1,332.0,2246.9974864509954
2,354.0,2258.421168868686
3,319.0,2582.81142312515
4,456.0,1908.0246876400086
5,428.0,2095.700937750781
6,344.0,2497.41770896312
7,495.0,1956.4186323664787
8,326.0,2330.1528124239508
9,458.0,1846.9030977321365
10,328.0,2547.3932415331187
11,642.0,1631.8351023473326
12,374.0,2380.5779743963753
13,443.0,1925.8620987834631
14,378.0,2480.5539732560674
15,300.0,2682.5108889611233
16,258.0,2562.1094361793967
17,395.0,2281.9466609388546
18,283.0,2196.203748541715
19,390.0,2391.1361002863305
20,362.0,2184.488451472181
21,431.0,2081.4244457791133
22,423.0,2231.164509695772
23,269.0,2742.756021697863
24,484.0,1874.8380543720714
25,352.0,2360.6212224431415
26,369.0,2409.0125984058714
27,327.0,2242.2562253261763
28,406.0,2199.6832542424254
29,583.0,1659.0452390216024
