agent_id,task_amount_done,distance_moved
0,251.0,2647.677106605436
1,297.0,2691.3739257805605
2,424.0,2214.7558311391776
3,384.0,2355.639908025865
4,537.0,1939.731296220672
5,386.0,2189.366792729208
6,355.0,2290.915726156775
7,499.0,1958.9026153223244
8,448.0,2051.351324987861
9,566.0,1923.5381007354297
10,263.0,2537.935353223092
11,270.0,2668.0333861910963
12,222.0,2808.5076510308427
13,329.0,2432.1693642418104
14,351.0,2343.074547691655
15,318.0,2470.8288211194917
16,423.0,2220.0357897439503
17,520.0,1903.2546603618587
18,323.0,2534.5930095490908
19,333.0,2658.252062022877
20,312.0,2399.87877337026
21,387.0,2006.8702348363963
22,377.0,2401.515928664184
23,334.0,2472.5140012426814
24,545.0,1816.9850235684974
25,402.0,2164.7048130509597
26,490.0,1998.2926828875022
27,399.0,2286.0114097002365
28,366.0,2159.7738561073065
29,403.0,2398.8688714496375
