agent_id,task_amount_done,distance_moved
0,366.0,1805.644600773613
1,291.0,2158.7761867003414
2,364.0,1871.957725384724
3,303.0,1976.6210518006906
4,363.0,1858.391811698117
5,366.0,1909.7556749628873
6,425.0,1696.6647142342324
7,438.0,1783.6027323381625
8,426.0,1761.810855714453
9,393.0,1821.6172086448048
10,378.0,1879.6992628415921
11,447.0,1733.143052658821
12,525.0,1481.3009282243752
13,486.0,1523.4539170395649
14,424.0,1867.459136524918
15,307.0,1998.056143198905
16,460.0,1723.064856561829
17,347.0,2075.496534063946
18,436.0,1638.488932413306
19,349.0,1947.2615595324908
20,474.0,1802.8355032851398
21,289.0,2082.5535374524766
22,332.0,2158.1296315911345
23,435.0,1742.5849737942317
24,415.0,1831.9677742332008
25,393.0,1965.1622532277954
26,479.0,1658.0785663561912
27,226.0,2390.782327431031
28,284.0,2285.133147132522
29,480.0,1673.7949577721101
