agent_id,task_amount_done,distance_moved
0,450.0,1969.2479378489284
1,379.0,2120.4120491669287
2,435.0,1814.084441543442
3,464.0,2003.733746199299
4,462.0,2018.8507440279482
5,438.0,1842.0923593358584
6,335.0,2482.3898968237977
7,236.0,2502.96867567267
8,370.0,2102.108049753328
9,382.0,2150.594007276945
10,398.0,2155.196788825958
11,467.0,2073.1002464980793
12,512.0,1699.8993386650195
13,337.0,2258.047160435551
14,498.0,1932.6710591601611
15,471.0,1950.3261075014482
16,359.0,2232.774206759976
17,391.0,2206.5255874737136
18,548.0,1813.9518985726036
19,593.0,1670.5348782139267
20,305.0,2469.619812776281
21,268.0,2449.371391236187
22,315.0,2320.651635023777
23,371.0,2244.2956811927825
24,308.0,2399.653782521884
25,470.0,2056.294509880498
26,382.0,2189.1703137984923
27,440.0,1895.1407242050755
28,340.0,2362.579146415159
29,425.0,2088.086466835664
