agent_id,task_amount_done,distance_moved
0,485.0,1984.3029271889864
1,336.0,2323.7461273607532
2,210.0,2696.3130668663543
3,365.0,2063.7039101141327
4,440.0,1971.0292072923944
5,624.0,1623.17361418959
6,444.0,2051.592691044886
7,542.0,1766.234162769721
8,358.0,2047.352515567411
9,628.0,1578.3182378808015
10,385.0,2142.3624332353747
11,253.0,2473.1574258795517
12,348.0,2236.982103695233
13,406.0,2016.0222066581885
14,287.0,2583.6850815967714
15,278.0,2397.0879616630336
16,507.0,1763.2985711922452
17,378.0,2190.4451035088796
18,387.0,2154.302032115686
19,285.0,2529.938522639067
20,349.0,2231.2816484311556
21,410.0,2133.997508143167
22,336.0,2257.069708591583
23,383.0,2012.786065349391
24,330.0,2291.6318284557633
25,509.0,1923.629182957477
26,297.0,2506.487096010695
27,405.0,2146.9919016482827
28,349.0,2249.897819310288
29,412.0,2230.8747171196014
