agent_id,task_amount_done,distance_moved
0,294.0,2522.353221312795
1,435.0,2213.5174229230997
2,265.0,2755.7198448831837
3,547.0,2029.412992867665
4,292.0,2465.7417983129326
5,304.0,2773.4250085108565
6,384.0,2262.4718563949305
7,584.0,1811.728509265786
8,390.0,2329.7877584896783
9,481.0,2026.0157532967394
10,382.0,2297.088902191626
11,379.0,2408.46989538147
12,407.0,2215.5061717482054
13,399.0,2240.8922843253636
14,464.0,2125.445372613437
15,304.0,2515.573218580527
16,592.0,2020.0995858628069
17,403.0,2163.7794313216805
18,307.0,2596.8499119299117
19,480.0,2201.7639608571794
20,173.0,2858.655936167348
21,284.0,2546.871799843042
22,400.0,2438.0371915545616
23,210.0,2731.998665742487
24,388.0,2274.3403708330798
25,367.0,2353.296558420836
26,345.0,2398.765693254863
27,383.0,2431.1597851577653
28,402.0,1998.2915225894992
29,269.0,2357.88853083442
