agent_id,task_amount_done,distance_moved
0,457.0,2092.7431657579114
1,287.0,2385.744828158978
2,269.0,2412.9379689710163
3,343.0,2417.594233780122
4,401.0,2028.5145430862617
5,560.0,1926.2786965093708
6,398.0,2216.4903851401523
7,332.0,2372.695227037601
8,189.0,2849.2745564993547
9,384.0,2263.0214897717165
10,403.0,2201.2385256851817
11,413.0,2005.668875931063
12,299.0,2358.7224534069856
13,403.0,2165.5775391595894
14,378.0,2247.758191294238
15,397.0,2238.960225232161
16,344.0,2226.961077964299
17,404.0,2240.922709247288
18,497.0,1974.6125938743933
19,253.0,2331.767965829091
20,391.0,2215.00724439915
21,441.0,2132.8871698022076
22,464.0,1908.087137782802
23,374.0,2046.4145973075674
24,501.0,1943.9532255622835
25,423.0,2026.844093373484
26,469.0,1899.5708207573769
27,483.0,2012.5710460415148
28,425.0,2101.6988107824764
29,350.0,2206.6699114379744
