agent_id,task_amount_done,distance_moved
0,411.0,1998.68430654415
1,319.0,2074.456661097472
2,388.0,1999.4959319636318
3,167.0,2610.2243888960925
4,311.0,2077.9538624293705
5,369.0,2010.5167275127944
6,308.0,2265.25650141384
7,323.0,1801.555030062477
8,501.0,1672.995854744797
9,387.0,1851.3484422074919
10,398.0,1994.6954927651923
11,460.0,1782.470927020403
12,344.0,2153.818551972703
13,564.0,1540.6098773391066
14,237.0,2386.8858864740805
15,546.0,1552.5005990028578
16,603.0,1403.5629147903223
17,435.0,1677.08277601211
18,316.0,2070.5542135897
19,390.0,1995.0707856150748
20,345.0,2087.9915112140407
21,519.0,1684.411942434604
22,317.0,2177.3892892412587
23,276.0,2252.310427997705
24,438.0,1722.0354994293857
25,518.0,1801.0219113980986
26,442.0,1838.1337263579612
27,423.0,1870.8446195489105
28,262.0,2176.7860055708716
29,250.0,2385.0845589186274
