agent_id,task_amount_done,distance_moved
0,403.0,1750.7196322014431
1,344.0,2182.028009992704
2,314.0,2039.7092868005932
3,455.0,1982.7554295483135
4,404.0,1954.0746636726058
5,468.0,1796.1395488748472
6,474.0,1701.3479686080013
7,608.0,1466.243898296591
8,368.0,1969.3084847426744
9,318.0,2309.820233163247
10,503.0,1675.417629815717
11,217.0,2532.544250879663
12,483.0,1787.2873213512319
13,333.0,2234.946953367998
14,452.0,2075.034251536094
15,532.0,1543.643603555915
16,437.0,1814.5726528730418
17,331.0,2303.7069835451653
18,595.0,1687.5724732939216
19,373.0,1940.4752211553437
20,322.0,2158.3870154053025
21,358.0,2083.5545317685037
22,281.0,2379.507685776384
23,223.0,2434.9654566324275
24,345.0,2188.304747673836
25,364.0,1977.9838480034464
26,394.0,1873.3063729768653
27,347.0,2185.52479742337
28,442.0,1945.9409778511842
29,214.0,2658.15709898083
