agent_id,task_amount_done,distance_moved
0,380.0,2239.9410423295117
1,313.0,2095.002869936849
2,397.0,1936.7810083947156
3,388.0,2089.372821128998
4,397.0,1799.5522207923455
5,419.0,1868.5470974842037
6,371.0,2076.8078212952514
7,296.0,2423.55282339674
8,454.0,1761.1057762940568
9,425.0,2031.1832375748438
10,365.0,2112.329035135508
11,456.0,1852.8593460021543
12,427.0,1901.2249175832767
13,368.0,2071.7365793648755
14,329.0,2041.2181224362348
15,675.0,1268.3304567556638
16,402.0,2121.1726634330785
17,293.0,2345.8042284084404
18,357.0,2082.767692719521
19,354.0,2150.8942455338
20,442.0,2006.8932616815994
21,423.0,1967.5927079897306
22,381.0,1927.9074240262892
23,309.0,2244.9221715434733
24,353.0,2285.8945646100424
25,437.0,1825.4820550656025
26,298.0,2127.9884492335177
27,487.0,1833.827745465763
28,413.0,1955.090396544162
29,294.0,2374.2382139786882
