agent_id,task_amount_done,distance_moved
0,336.0,2375.897211530047
1,428.0,2275.3940931287693
2,166.0,2709.217125610359
3,422.0,2146.006604880334
4,419.0,2202.7084960567427
5,555.0,1840.6035391419853
6,467.0,1856.4689756540859
7,241.0,2684.078784058866
8,370.0,2176.88168776791
9,468.0,2103.608450528027
10,420.0,2164.134876210459
11,336.0,2249.176093844332
12,419.0,2298.261906371527
13,341.0,2408.1407395190486
14,425.0,2267.527741906331
15,301.0,2420.655447945885
16,591.0,1627.106330896019
17,412.0,2022.54454048625
18,338.0,2223.020320942535
19,389.0,2257.865963540107
20,362.0,2182.1204254651047
21,459.0,2001.0043397642853
22,327.0,2309.297517733233
23,400.0,2189.006085197411
24,547.0,2015.089314748123
25,278.0,2560.970153140366
26,330.0,2437.925065346893
27,423.0,2189.3662014924175
28,393.0,2318.6233164777364
29,328.0,2336.778258207387
