agent_id,task_amount_done,distance_moved
0,347.0,2025.5397105662887
1,252.0,2308.2569882797516
2,359.0,2166.131445302807
3,447.0,1948.8999906667336
4,395.0,1971.7166800169668
5,379.0,1859.80731260773
6,403.0,1958.157930351044
7,320.0,2203.2363339905014
8,512.0,1647.1837707600696
9,462.0,1773.440682000655
10,436.0,1951.8860505207135
11,381.0,2075.662072794754
12,382.0,2003.3994803886776
13,563.0,1530.0096148707003
14,457.0,1920.8768235773393
15,404.0,1837.4598416501797
16,331.0,2127.750442071872
17,423.0,2027.8098162250585
18,390.0,1941.700831112759
19,377.0,2007.821830919782
20,173.0,2471.7309380999836
21,439.0,1796.8953189830142
22,541.0,1586.88398209383
23,385.0,2014.0210866791638
24,382.0,2060.764163553122
25,448.0,1873.888089968807
26,454.0,1901.0991395374945
27,383.0,1876.8929943708422
28,139.0,2527.5244920347045
29,419.0,2094.052168278375
