agent_id,task_amount_done,distance_moved
0,410.0,2060.1910052431667
1,396.0,1977.850804209243
2,439.0,2011.8820944951306
3,642.0,1380.2707174813015
4,346.0,2202.632828036729
5,351.0,2273.574794322775
6,324.0,2344.999368715362
7,444.0,1870.1998382343832
8,390.0,1939.8847510622832
9,191.0,2638.068805515756
10,203.0,2690.7693564229066
11,357.0,1994.7739015945274
12,471.0,1845.0843521129184
13,406.0,1934.288665725967
14,425.0,1974.3035937425848
15,480.0,2004.0104168658722
16,386.0,1961.204497867178
17,561.0,1705.5968470566218
18,512.0,1818.8361486847848
19,283.0,2489.832274677322
20,343.0,2016.4703972191974
21,367.0,2245.4536298646794
22,282.0,2267.795952792037
23,405.0,2048.012355502048
24,274.0,2192.5905424235975
25,445.0,1831.5188169120472
26,390.0,2048.3949998133044
27,453.0,1933.4132408723435
28,371.0,1891.8483176011125
29,284.0,2327.811296187147
