agent_id,task_amount_done,distance_moved
0,325.0,2524.2648258483086
1,505.0,1868.0207231665008
2,520.0,1949.5542852127705
3,422.0,2004.185720314227
4,320.0,2499.779494008511
5,528.0,1798.634679741861
6,257.0,2482.140660345356
7,539.0,1647.7738919288572
8,281.0,2578.2053598170237
9,442.0,2074.4663122543993
10,409.0,2287.801685848063
11,306.0,2313.796018663086
12,345.0,2478.618224290699
13,485.0,1847.4207553624613
14,445.0,2118.7788634771127
15,286.0,2522.1501275529045
16,203.0,2719.4571214275447
17,233.0,2683.2177630989095
18,398.0,2139.0352451361314
19,272.0,2490.5793210604475
20,354.0,2407.568006359958
21,536.0,1897.2741176514521
22,453.0,2075.8587170429664
23,370.0,2314.002182832734
24,272.0,2564.894815694047
25,341.0,2179.950324506044
26,406.0,2229.900724222008
27,499.0,1959.3877734035607
28,461.0,1964.6529889309768
29,505.0,1916.2872576034404
