time,agents_total_distance_moved,agents_total_task_amount_done,remaining_tasks,tasks_total_amount_left
0.016666666666666666,3.0,0.0,200,6897.403914438896
0.03333333333333333,6.922858793487393,1.0,200,6896.403914438896
0.05,13.385556979688745,2.0,200,6895.403914438896
0.06666666666666667,22.234975291751514,3.0,200,6894.403914438896
0.08333333333333333,33.76621570506022,4.0,200,6893.403914438896
0.09999999999999999,48.02224078628443,5.0,200,6892.403914438896
0.11666666666666665,65.10880173771166,6.0,200,6891.403914438896
0.13333333333333333,85.03095528491396,7.0,200,6890.403914438896
0.15,107.84160012761824,8.0,200,6889.403914438896
0.16666666666666666,133.517632203023,10.0,200,6887.403914438896
0.18333333333333332,161.86386877493345,13.0,200,6884.403914438896
0.19999999999999998,192.78339275252708,16.0,200,6881.403914438896
0.21666666666666665,226.15116222316288,20.0,200,6877.403914438896
0.2333333333333333,261.7527078833584,26.0,200,6871.403914438896
0.24999999999999997,299.1403895755527,32.0,200,6865.403914438896
0.26666666666666666,338.0593400552989,40.0,200,6857.403914438896
0.2833333333333333,378.2856866027236,49.0,200,6848.403914438896
0.3,419.6796788817101,58.0,200,6839.403914438896
0.31666666666666665,462.14432987361505,67.0,200,6830.403914438896
0.3333333333333333,505.18469494889604,76.0,200,6821.403914438896
0.35,548.2737180357894,86.0,200,6811.403914438896
0.36666666666666664,591.0266042627254,99.0,200,6798.403914438896
0.3833333333333333,633.154035905259,113.0,200,6784.403914438896
0.39999999999999997,674.2494051756511,128.0,199,6769.403914438896
0.41666666666666663,714.1334243452123,142.0,199,6755.403914438896
0.4333333333333333,752.7516099408476,159.0,199,6738.403914438896
0.44999999999999996,789.9472587275055,176.0,199,6721.403914438896
0.4666666666666666,825.7848558051319,194.0,199,6703.403914438896
0.4833333333333333,860.2987374051767,211.0,199,6686.403914438896
0.49999999999999994,893.3884031870089,232.0,199,6665.403914438896
0.5166666666666666,925.0080581498479,253.0,199,6644.403914438896
0.5333333333333333,955.3137813680895,275.0,199,6622.403914438896
0.55,984.1951193870466,299.0,199,6598.403914438896
0.5666666666666668,1011.7056642353302,323.0,199,6574.403914438896
0.5833333333333335,1037.9048977269558,348.0,199,6549.403914438896
0.6000000000000002,1062.8033041624903,374.0,197,6523.403914438896
0.6166666666666669,1086.508500944351,399.0,197,6498.403914438896
0.6333333333333336,1109.3553266913816,422.0,196,6475.403914438896
0.6500000000000004,1131.098470197879,446.0,196,6451.403914438896
0.6666666666666671,1152.1706193162686,469.0,196,6428.403914438896
0.6833333333333338,1172.5516798430363,492.0,196,6405.403914438896
0.7000000000000005,1192.541913433463,516.0,196,6381.403914438896
0.7166666666666672,1212.000162469956,541.0,195,6356.403914438896
0.733333333333334,1230.99402471389,565.0,194,6332.403914438896
0.7500000000000007,1249.4583182794956,588.0,194,6309.403914438896
0.7666666666666674,1267.4038397196816,611.0,194,6286.403914438896
0.7833333333333341,1284.9776739219983,634.0,193,6263.403914438896
0.8000000000000008,1302.4392546697002,656.0,193,6241.403914438896
0.8166666666666675,1319.6824310531451,678.0,192,6219.403914438896
0.8333333333333343,1336.8035714980433,699.0,192,6198.403914438896
0.850000000000001,1353.7217025533996,720.0,192,6177.403914438896
0.8666666666666677,1370.5275415747565,741.0,191,6156.403914438896
0.8833333333333344,1387.1800686708616,763.0,190,6134.403914438896
0.9000000000000011,1403.7679077901194,784.0,189,6113.403914438896
0.9166666666666679,1420.305299477521,805.0,189,6092.403914438896
0.9333333333333346,1437.015478810959,826.0,189,6071.403914438896
0.9500000000000013,1454.0291057535167,847.0,188,6050.403914438896
0.966666666666668,1471.3281456663008,867.0,186,6030.403914438896
0.9833333333333347,1489.0003406984522,885.0,186,6012.403914438896
1.0000000000000013,1507.056100861522,903.0,184,5994.403914438896
1.016666666666668,1525.585252315406,919.0,184,5978.403914438896
1.0333333333333345,1544.5720440499774,935.0,183,5962.403914438896
1.0500000000000012,1563.8628375082099,950.0,181,5947.403914438896
1.0666666666666678,1583.6886631822454,963.0,180,5934.403914438896
1.0833333333333344,1604.1172885870094,975.0,180,5922.403914438896
1.100000000000001,1625.256672413514,988.0,180,5909.403914438896
1.1166666666666676,1646.9219214719237,1002.0,180,5895.403914438896
1.1333333333333342,1669.1610927514105,1016.0,179,5881.403914438896
1.1500000000000008,1691.913862357053,1030.0,179,5867.403914438896
1.1666666666666674,1715.2095445620516,1044.0,179,5853.403914438896
1.183333333333334,1739.0806136010563,1058.0,178,5839.403914438896
1.2000000000000006,1763.593962795306,1071.0,178,5826.403914438896
1.2166666666666672,1788.8880766829895,1084.0,178,5813.403914438896
1.2333333333333338,1814.6672395796395,1100.0,178,5797.403914438896
1.2500000000000004,1840.8009257006004,1116.0,175,5781.403914438896
1.266666666666667,1867.3635407795125,1130.0,174,5767.403914438896
1.2833333333333337,1894.5364997507763,1144.0,174,5753.403914438896
1.3000000000000003,1922.5386592575599,1158.0,174,5739.403914438896
1.3166666666666669,1951.3032620888578,1172.0,173,5725.403914438896
1.3333333333333335,1980.8466985184855,1185.0,172,5712.403914438896
1.35,2011.3789753780623,1197.0,172,5700.403914438896
1.3666666666666667,2042.5473095099424,1211.0,171,5686.403914438896
1.3833333333333333,2074.2340891489607,1224.0,171,5673.403914438896
1.4,2106.3848703754925,1237.0,170,5660.403914438896
1.4166666666666665,2138.8521554489903,1250.0,170,5647.403914438896
1.4333333333333331,2171.4068458931233,1263.0,168,5634.403914438896
1.4499999999999997,2204.293985695978,1273.0,168,5624.403914438896
1.4666666666666663,2237.4969831602543,1283.0,168,5614.403914438896
